iter	MAE
0	244.3205107
1	241.9218318
2	239.1076187
3	236.486188
4	234.5190261
5	232.1909525
6	229.5238844
7	226.9006642
8	225.1514441
9	222.5625938
10	220.3636093
11	218.1660007
12	215.7837805
13	213.6489903
14	211.8555274
15	209.8677483
16	208.0144979
17	205.8472362
18	203.7600485
19	202.0264851
20	200.1117385
21	198.2005188
22	196.5875285
23	195.1853164
24	193.2404268
25	191.21915
26	189.1242064
27	187.0879865
28	185.4517749
29	183.4542052
30	181.6985642
31	180.0851538
32	178.5336103
33	177.0989325
34	175.8571034
35	174.1443113
36	172.2899423
37	170.8047607
38	168.9672255
39	167.5138094
40	165.9288563
41	164.2541196
42	162.6896221
43	161.294515
44	159.9051806
45	158.3091081
46	157.0247011
47	155.7288026
48	154.6287022
49	153.0840376
50	151.7073665
51	150.2734576
52	149.4455463
53	147.9707339
54	146.2734309
55	145.0359794
56	143.6977685
57	142.4809452
58	141.1157976
59	139.8942912
60	138.5750115
61	137.1654109
62	135.9777814
63	135.1515151
64	133.9132543
65	132.9340333
66	131.950494
67	131.0189763
68	129.7544704
69	128.2765203
70	127.2486655
71	126.1816633
72	125.0395787
73	124.02216
74	122.7275162
75	121.8550079
76	121.0413984
77	120.0382545
78	119.2377064
79	118.3285151
80	117.0459578
81	116.2614988
82	115.3389065
83	114.8288859
84	114.2848048
85	113.365107
86	112.4798631
87	111.6728997
88	110.6790142
89	110.0469993
90	109.2378503
91	108.6058624
92	107.4936916
93	106.9860806
94	106.2607399
95	105.452751
96	104.6118764
97	103.659195
98	102.9227441
99	102.2846583
100	101.4093618
101	100.66462
102	99.86512163
103	99.10120344
104	98.18493772
105	97.36225184
106	96.50473169
107	95.76396447
108	94.87112191
109	94.01135693
110	93.49532572
111	92.96014732
112	92.36436312
113	91.75925826
114	91.17383569
115	90.58965764
116	90.24999817
117	89.84799246
118	89.03258365
119	88.48248278
120	87.88529311
121	87.04017114
122	86.36701731
123	85.79843107
124	85.26356266
125	84.63095855
126	84.16616949
