iter	Passed	Remaining
0	3	3883
1	5	3548
2	7	3223
3	9	3108
4	12	3078
5	14	3063
6	17	3038
7	19	3035
8	21	3025
9	24	3008
10	26	3018
11	29	3042
12	31	3029
13	33	2999
14	35	2963
15	38	2947
16	40	2918
17	42	2931
18	44	2899
19	46	2896
20	49	2888
21	51	2860
22	53	2845
23	55	2832
24	57	2836
25	60	2835
26	62	2818
27	64	2812
28	66	2805
29	68	2784
30	70	2767
31	72	2763
32	74	2754
33	76	2752
34	78	2746
35	81	2740
36	82	2722
37	85	2722
38	86	2706
39	89	2713
40	91	2713
41	93	2700
42	95	2687
43	97	2676
44	99	2674
45	101	2662
46	103	2662
47	106	2663
48	108	2657
49	109	2648
50	112	2646
51	114	2641
52	116	2635
53	118	2633
54	120	2626
55	122	2619
56	124	2617
57	126	2615
58	129	2613
59	131	2611
60	133	2608
61	135	2609
62	137	2601
63	139	2598
64	141	2592
65	143	2583
66	146	2603
67	149	2601
68	151	2598
69	153	2593
70	155	2586
71	157	2580
72	159	2580
73	161	2581
74	164	2578
75	166	2580
76	168	2574
77	170	2570
78	172	2571
79	175	2569
80	177	2566
81	179	2565
82	181	2560
83	183	2553
84	185	2548
85	187	2548
86	189	2546
87	192	2546
88	194	2541
89	196	2536
90	198	2534
91	200	2534
92	203	2536
93	205	2533
94	207	2526
95	208	2520
96	210	2514
97	212	2511
98	215	2511
99	217	2509
100	219	2508
101	221	2507
102	223	2502
103	225	2498
104	228	2495
105	230	2491
106	232	2490
107	234	2490
108	236	2489
109	239	2486
110	241	2482
111	243	2478
112	245	2474
113	247	2472
114	249	2470
115	251	2468
116	254	2469
117	256	2467
118	258	2461
119	260	2460
120	262	2459
121	264	2455
122	266	2450
123	268	2449
124	271	2447
125	273	2445
126	275	2444
